Latin Name,Common Name,Desired Density per square meter,Seeds/lb,Expected Percent Germination,Pounds/acre,Percent by Weight,Forb,Fall Seeding Req (1=Required)
Agrostis hyemalis,Winter Bentgrass,100,8500000,0.81,0.06,0.20%,0,0
Amorpha canescens,Leadplant,100,181440,0.2,11.15,37.98%,1,0
Asclepias incarnata,Swamp Milkweed,5,70000,0.18,1.61,5.47%,1,1
Asclepias tuberosa,Butterfly Weed,5,90720,0.18,1.24,4.22%,1,1
Chamaecrista fasciculata,Partridge pea,5,63504,0.25,1.27,4.34%,1,0
Chelone obliqua,Turtlehead,5,861840,0.15,0.16,0.53%,1,1
Coreopsis lanceolata,Lanceleaf Coreopsis,5,226800,0.35,0.25,0.87%,1,0
Dalea purpureum,Purple Prairie Clover,5,272160,0.3,0.25,0.84%,1,0
Echinacea purpurea,Coneflower,5,113400,0.2,0.89,3.04%,1,1
Elymus virginicus,Virginia Wild Rye,5,100000,0.98,0.21,0.70%,0,0
Eupatorium maculatum,Joe Pye Weed,2,1587600,0.4,0.01,0.04%,1,1
Hibiscus moscheutus,Rose Mallow,5,36288,0.27,2.06,7.03%,1,0
Helianthus angustifolius,Swamp Sunflower,1,504000,0.78,0.01,0.04%,1,1
Hordeum jubatum,Foxtail Barley,5,192326.4,0.4,0.26,0.90%,0,0
Juncus effusus,Soft Rush,15,43359000,0.05,0.03,0.10%,0,0
Koesteleskya virginica,Saltmarsh Mallow,1,26000,0.088,1.77,6.02%,1,0
Penstemon digitalis ,White Beardtongue,5,1360800,0.25,0.06,0.20%,1,1
Panicum amarum,Coastal Panicgrass,10,325000,1,0.12,0.42%,0,0
Panicum anceps,Beaked Panicgrass,10,225000,0.25,0.72,2.45%,0,0
Panicum 'Tioga',Deertongue,10,280000,0.37,0.39,1.33%,0,0
Panicum virgatum,Switchgrass,10,226800,0.5,0.36,1.22%,0,0
Pycnanthemum tenuifolium,Narrowleaf Mountainmint,5,6804000,0.01,0.30,1.01%,1,0
Rudbeckia fulgida var. fulgida,Orange Coneflower,5,453600,0.3,0.15,0.51%,1,1
Rudbeckia hirta,Black-Eyed Susan,20,1578528,0.2,0.26,0.87%,1,0
Schizachyrium scoparium,Little Bluestem,10,385560,0.1,1.05,3.57%,0,0
Sorghastrum nutans,Indiangrass,10,175000,0.08,2.89,9.84%,0,0
Spartina pectinata,Prairie Cordgrass,10,639000,0.5,0.13,0.43%,0,1
Symphiotrichum novae-angliae,New England Aster,2,1100000,0.14,0.05,0.18%,1,1
Tradescantia ohiensis,Ohio Spiderwort,6,113400,0.17,1.26,4.29%,1,1
Solidago nemoralis,Grey Goldenrod,3,1009260,0.2,0.06,0.20%,1,0
Zizea aurea,Golden Alexander,2,158760,0.15,0.34,1.16%,1,1